time,open,high,low,close,volume,trades,taker_buy
1780527780000,1.2019,1.2028,1.2,1.2023,3993.4,139,1134.3
1780527840000,1.2025,1.2033,1.2004,1.2017,2528.3,153,1266.7
1780527900000,1.2013,1.2029,1.2013,1.2026,2871.8,173,1427.6
1780527960000,1.2026,1.203,1.201,1.2013,683.2,45,337.2
1780528020000,1.2013,1.2027,1.1983,1.1996,3586.8,124,1001.3
1780528080000,1.1988,1.2003,1.1979,1.1993,832.0,42,332.0
1780528140000,1.1993,1.2003,1.1985,1.199,436.6,27,220.8
1780528200000,1.1993,1.2001,1.1988,1.1996,730.4,44,365.2
1780528260000,1.1982,1.2025,1.1982,1.2023,1886.5,115,951.1
1780528320000,1.2021,1.2028,1.2004,1.2011,2313.2,140,1151.2
1780528380000,1.2005,1.2028,1.2005,1.2024,1482.9,90,735.9
1780528440000,1.2028,1.203,1.2007,1.2012,1278.2,77,647.4
1780528500000,1.2006,1.2022,1.1997,1.2022,1552.1,93,763.6
1780528560000,1.2019,1.2028,1.1994,1.2,1382.9,84,685.7
1780528620000,1.2004,1.2014,1.2001,1.2008,1558.2,80,927.4
1780528680000,1.2008,1.2011,1.1985,1.2005,469.6,29,237.2
1780528740000,1.2005,1.2013,1.2,1.2007,780.4,43,431.8
1780528800000,1.2007,1.2021,1.2005,1.2014,1494.0,90,747.0
1780528860000,1.2011,1.2029,1.2011,1.2026,1432.8,87,702.5
1780528920000,1.2026,1.2028,1.2006,1.201,1167.0,71,586.0
1780528980000,1.2018,1.2018,1.2007,1.2007,581.7,11,498.7
1780529040000,1.2007,1.2007,1.2007,1.2007,83.1,1,83.1
1780529100000,1.2037,1.2037,1.2037,1.2037,4.9,1,4.9
1780529160000,1.2028,1.203,1.2016,1.2026,564.4,34,282.2
1780529220000,1.2029,1.203,1.2025,1.2025,66.4,4,33.2
1780529280000,1.2028,1.2028,1.2016,1.2023,813.4,49,415.0
1780529340000,1.2019,1.2027,1.2017,1.2025,1543.8,93,763.6
1780529400000,1.2047,1.2047,1.2047,1.2047,5.4,1,5.4
1780529520000,1.2062,1.2062,1.2059,1.2059,7.6,2,7.6
1780529580000,1.2053,1.2053,1.2048,1.2048,30.3,2,5.5
1780529640000,1.204,1.2045,1.204,1.2045,7.2,2,4.8
1780529700000,1.2047,1.2047,1.2047,1.2047,5.7,1,5.7
1780529820000,1.2024,1.2024,1.2024,1.2024,17.0,1,0.0
1780529880000,1.202,1.2025,1.2017,1.2019,99.6,6,49.8
1780529940000,1.2026,1.2026,1.2026,1.2026,5.0,1,5.0
1780530000000,1.2032,1.2032,1.2032,1.2032,5.5,1,5.5
1780530120000,1.2034,1.2034,1.2034,1.2034,10.8,1,10.8
1780530240000,1.2025,1.2025,1.2025,1.2025,5.1,1,5.1
1780530300000,1.2032,1.2032,1.2032,1.2032,5.1,1,5.1
1780530360000,1.2025,1.2025,1.2025,1.2025,5.0,1,5.0
1780530420000,1.2027,1.203,1.2021,1.2027,590.5,36,287.6
1780530480000,1.2027,1.2027,1.2012,1.2018,453.3,28,237.5
1780530540000,1.2013,1.2029,1.2013,1.2025,415.0,25,199.2
1780530600000,1.2025,1.2031,1.2021,1.2031,271.2,17,138.4
1780530660000,1.2031,1.2031,1.2021,1.2026,121.2,8,71.4
1780530720000,1.2019,1.2029,1.2018,1.2018,320.3,20,154.3
1780530780000,1.2023,1.203,1.202,1.202,395.1,24,187.6
1780530840000,1.202,1.2026,1.202,1.202,339.0,12,88.4
1780530900000,1.202,1.2022,1.2015,1.2022,547.1,24,199.2
1780530960000,1.2013,1.2017,1.2009,1.2009,121.2,8,54.8
1780531020000,1.2007,1.2007,1.2007,1.2007,21.5,1,0.0
1780531080000,1.2015,1.2015,1.2008,1.2008,38.3,3,21.7
1780531140000,1.2011,1.2011,1.2011,1.2011,5.2,1,5.2
1780531200000,1.2028,1.2041,1.2025,1.2041,38.8,3,22.2
1780531320000,1.205,1.205,1.205,1.205,8.3,1,8.3
1780531380000,1.2061,1.2061,1.2061,1.2061,5.0,1,5.0
1780531440000,1.2049,1.205,1.2049,1.205,402.8,2,402.8
1780531500000,1.2059,1.2059,1.2056,1.2056,24.9,2,16.6
1780531560000,1.2051,1.2051,1.2041,1.2041,78.7,4,12.3
1780531620000,1.2058,1.2062,1.2058,1.2062,7.8,2,7.8
