time,open,high,low,close,volume,trades,taker_buy
1780659000000,1677.52,1677.52,1677.52,1677.52,0.0962,1,0.0
1780659180000,1673.36,1673.36,1673.36,1673.36,0.0492,1,0.0
1780659360000,1674.76,1674.76,1674.76,1674.76,0.2978,1,0.2978
1780659420000,1672.64,1672.64,1672.64,1672.64,0.061,1,0.0
1780659540000,1673.24,1673.24,1672.72,1672.72,1.2456,3,0.0
1780659600000,1672.6,1672.6,1672.07,1672.07,0.2487,3,0.1992
1780659660000,1672.64,1672.64,1672.64,1672.64,0.0018,1,0.0018
1780659720000,1672.67,1672.67,1672.67,1672.67,0.0348,1,0.0348
1780659840000,1669.35,1669.35,1668.18,1668.18,0.3008,2,0.2989
1780659900000,1668.32,1668.32,1666.56,1666.83,1.1661,4,1.1209
1780660200000,1668.74,1669.01,1668.74,1669.01,1.2168,2,1.2168
1780660380000,1668.83,1668.83,1668.83,1668.83,0.0493,1,0.0
1780660440000,1665.09,1665.09,1665.0,1665.0,0.0542,3,0.0
1780660560000,1666.15,1666.15,1665.84,1665.84,0.39,6,0.0
1780660740000,1664.33,1664.33,1664.05,1664.05,0.062,2,0.0
1780660800000,1664.37,1664.37,1664.37,1664.37,0.0072,1,0.0072
1780660860000,1662.25,1662.25,1658.99,1659.76,0.0759,7,0.0108
1780660920000,1658.27,1660.86,1658.26,1659.33,1.2388,8,1.1065
1780660980000,1658.99,1658.99,1653.92,1653.92,8.4307,10,7.6072
1780661040000,1653.67,1653.81,1653.67,1653.81,0.2277,2,0.2149
1780661100000,1655.4,1655.4,1655.4,1655.4,0.0205,1,0.0
1780661220000,1666.56,1669.37,1666.29,1666.29,0.9672,8,0.9495
1780661280000,1663.54,1663.54,1663.54,1663.54,0.0054,1,0.0054
1780661340000,1662.22,1662.22,1662.22,1662.22,0.015,1,0.015
1780661520000,1661.62,1661.62,1661.25,1661.25,0.7993,2,0.0
1780661580000,1661.54,1661.54,1661.54,1661.54,0.9,2,0.9
1780661640000,1662.48,1662.48,1661.73,1661.73,0.2224,2,0.2224
1780661820000,1663.7,1663.7,1663.7,1663.7,0.06,1,0.06
1780661880000,1665.44,1665.44,1665.44,1665.44,0.0813,2,0.0813
1780662060000,1663.0,1663.0,1663.0,1663.0,0.018,1,0.018
1780662240000,1667.51,1669.9,1667.51,1669.9,0.1112,2,0.1112
1780662540000,1663.16,1663.16,1663.16,1663.16,0.0495,1,0.0
1780662600000,1664.92,1669.14,1659.75,1661.54,1.1672,7,0.7645
1780662660000,1659.39,1659.39,1653.87,1656.44,1.1786,6,0.3076
1780662780000,1658.13,1658.13,1658.13,1658.13,1.3301,1,0.0
1780662840000,1653.43,1653.43,1653.43,1653.43,0.1,1,0.1
1780662900000,1651.17,1651.17,1649.1,1649.1,0.0692,5,0.0101
1780662960000,1648.37,1651.18,1647.18,1651.18,1.0962,5,1.0089
1780663140000,1658.26,1658.26,1658.0,1658.0,0.0549,2,0.0449
1780663320000,1653.89,1653.89,1653.89,1653.89,0.0495,1,0.0495
1780663380000,1659.39,1659.39,1659.39,1659.39,0.0019,1,0.0019
1780663440000,1659.95,1659.97,1659.95,1659.97,0.087,2,0.087
1780663560000,1654.97,1654.97,1654.97,1654.97,0.0429,1,0.0429
1780663680000,1654.97,1654.97,1654.97,1654.97,0.087,1,0.087
1780663800000,1654.38,1654.38,1654.38,1654.38,0.0495,1,0.0
1780663860000,1653.02,1653.02,1652.22,1652.22,0.0835,3,0.0008
1780663920000,1653.77,1653.77,1653.77,1653.77,1.0319,1,1.0319
1780663980000,1657.03,1657.03,1657.03,1657.03,0.0571,1,0.0571
1780664100000,1655.52,1655.52,1655.52,1655.52,0.0495,1,0.0495
1780664280000,1655.95,1658.61,1655.95,1658.61,0.1492,2,0.1492
1780664400000,1658.85,1658.85,1658.7,1658.7,1.28,2,1.28
1780664460000,1661.48,1664.54,1661.48,1662.34,0.414,6,0.414
1780664520000,1663.63,1663.63,1662.45,1662.45,0.099,5,0.0
1780664580000,1661.0,1661.64,1661.0,1661.64,0.5681,2,0.5634
1780664640000,1665.2,1666.83,1663.7,1666.83,0.6158,7,0.6058
1780664700000,1667.03,1671.79,1667.03,1669.6,6.7722,11,6.3789
1780664760000,1667.64,1670.35,1667.64,1670.35,0.4508,3,0.4016
1780664820000,1668.21,1668.21,1668.21,1668.21,0.0492,1,0.0492
1780664880000,1667.54,1667.54,1667.54,1667.54,0.0299,1,0.0299
1780665000000,1667.38,1667.38,1667.38,1667.38,0.0497,1,0.0
1780665060000,1666.86,1666.86,1666.86,1666.86,0.0132,1,0.0132
1780665120000,1666.26,1666.26,1666.26,1666.26,0.012,1,0.012
1780665240000,1667.76,1667.86,1667.76,1667.86,0.0992,2,0.0
1780665300000,1666.4,1666.4,1665.4,1665.4,0.9191,3,0.0049
1780665360000,1665.05,1665.05,1664.96,1664.96,0.0989,2,0.0497
